Sn. No,Report Date,Run Date,Unique Product ID,Brand Name,Category,Product Description,Quantity,City,Pincode,Area,FG Code,SKU ID,Platform,MRP,Selling Price,Stock Availability (Y/N),Discount
1,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110015,110015,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,330,304,No,8
2,17-04-2025,17-04-2025,NUVRAA000002,Bikaji,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110015,110015,FG001850,"SNSGD2UHYGGE2YBZ
",Zepto,,,No,
3,17-04-2025,17-04-2025,NUVRAA000003,Bikaji,Bhujia,Bhujia No.1 - 400 Gm*24,,delhi,110015,110015,FG000010,"e2bccb76-89cd-476f-8a01-6345a4cea506
",Zepto,122,113,Yes,7
4,17-04-2025,17-04-2025,NUVRAA000004,Bikaji,Bhujia,Bhujia Ratlami Chatpata(Sp)400G*16,,delhi,110015,110015,FG001538,"46fdd5ea-29bc-4072-a28e-5d24c4d502d7
",Zepto,,,No,
5,17-04-2025,17-04-2025,NUVRAA000014,Bikaji,Namkeen,Chowpati Bhelpuri-300G*12,,delhi,110015,110015,FG000266,"818e37b7-634b-444e-aef5-49128bc2711e
",Zepto,65,65,No,0
6,17-04-2025,17-04-2025,NUVRAA000015,Bikaji,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110015,110015,FG000484,"4dd59ec7-0c45-425b-9633-289c8de56c5e
",Zepto,60,60,No,0
7,17-04-2025,17-04-2025,NUVRAA000016,Bikaji,Namkeen,Falahari Chips 70Gm * 4.2,,delhi,110015,110015,FG004351,"bf7411cc-c4f0-4e6f-a6f7-37504c67a2e9
",Zepto,45,34,No,24
8,17-04-2025,17-04-2025,NUVRAA000017,Bikaji,Namkeen,Falahari Mix.- 200 Gm*12,,delhi,110015,110015,FG000516,"ae93f5f1-cac3-4b17-a2b0-8320c33f658d
",Zepto,80,60,No,25
9,17-04-2025,17-04-2025,NUVRAA000018,Bikaji,Mithai,Gulab Jamun 1.25 Kg*15,,delhi,110015,110015,FG001086,"091fb0a8-2a0a-4382-8feb-6c8c9738ce2d
",Zepto,275,253,No,8
10,17-04-2025,17-04-2025,NUVRAA000019,Bikaji,Mithai,Gulabjamun (Super) 500Gm * 16,,delhi,110015,110015,FG002993,"e175d19e-e302-4cc0-8952-fa6b8db10b18
",Zepto,120,111,No,8
